Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
K. Schmeichel,Celtic,32,2790,2903,0,,0,0,0.0,,0.0,0,17,0,6,0,9,1035,975,164,0,0,0,70,Goalkeeper
C. Gordon,Heart of Midlothian,33,2790,2904,0,,0,0,0.0,,0.0,0,22,1,9,0,12,770,434,474,0,0,0,75,Goalkeeper
T. Carson,Ross County,31,1710,2905,1,,0,0,0.0,,0.0,1,13,0,9,0,11,599,230,526,0,1,1,61,Goalkeeper
J. Butland,Rangers,30,2520,2906,1,,0,0,0.0,,0.0,2,23,0,7,0,14,775,601,278,0,0,2,61,Goalkeeper
J. Hamilton,Livingston,22,315,2907,0,,0,0,0.0,,0.0,1,5,0,0,0,2,123,54,95,0,0,0,16,Goalkeeper
R. Laidlaw,Ross County,25,1305,2908,0,,0,0,0.0,,0.0,0,13,1,5,0,7,438,204,383,0,0,2,36,Goalkeeper
L. Kelly,Rangers,35,630,2909,0,,0,0,0.0,,0.0,0,5,0,5,0,6,212,135,124,0,0,1,12,Goalkeeper
D. Richards,Dundee United,35,180,2910,0,,0,0,0.0,,0.0,0,2,0,1,0,1,45,18,44,0,0,0,8,Goalkeeper
KOK. O'Hara,Dundee FC,35,1335,2911,0,,0,0,0.0,,0.0,0,18,0,4,0,5,396,149,361,0,0,0,29,Goalkeeper
R. Fulton,Heart of Midlothian,6,158,2912,0,,0,0,0.0,,0.0,0,0,0,0,0,0,54,34,26,0,0,0,3,Goalkeeper
D. Mitov,Aberdeen,23,1845,2913,0,,0,0,0.0,,0.0,1,25,0,13,0,18,699,493,298,0,0,1,67,Goalkeeper
J. Smith,Hibernian,35,1980,2914,0,,0,0,0.0,,0.0,1,22,0,5,0,7,539,282,386,0,0,0,68,Goalkeeper
R. Doohan,Celtic,35,1305,2915,0,,0,0,0.0,,0.0,0,24,0,6,0,10,394,257,208,0,0,0,33,Goalkeeper
J. McCracken,Dundee FC,35,1440,2916,1,,0,0,0.0,,0.0,0,20,0,2,0,13,514,207,417,0,1,2,58,Goalkeeper
R. Sinclair,St. Johnstone,31,945,2917,0,,0,0,0.0,,0.0,0,21,0,7,0,8,314,178,185,0,0,0,28,Goalkeeper
V. Sinisalo,Celtic,35,360,2918,0,,0,0,0.0,,0.0,0,4,0,0,0,1,163,149,23,0,0,0,8,Goalkeeper
C. Ward,Motherwell,4,0,2919,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
LRL. Ross,Ross County,3,0,2920,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
