Name,Team,Mins,Saves,Unnamed: 3
P. Frattali,Frosinone,0,0,
M. Silvestri,Cremonese,630,21,
ASA. Seculin,Reggiana,0,0,
Nícolas,Pisa,90,3,
M. Pisseri,Frosinone,990,30,
L. Maniero,Cittadella,855,39,
A. Micai,Reggiana,3291,108,
E. Audero,Cremonese,1350,48,
A. Šemper,Pisa,3240,91,
D. Thiam,Monza,3598,111,
T. Vettorel,Cosenza,123,3,
M. Cardinali,Reggiana,0,0,
M. Sarr,Cremonese,359,11,
G. Saro,Reggiana,0,0,
A. Sorrentino,Monza,180,8,
S. Desplanches,Pescara,1853,57,
FMF. Minicangeli,Frosinone,0,0,
E. Scquizzato,Cittadella,0,0,
