Name,Mins,Saves,Unnamed: 3
J. ÁngelSporting Gijón,1380,0,
J. PulidoHuesca,3184,0,
M. MateuCD Tenerife,3218,0,
N. MarašMirandés,2026,0,
A. ArbillaEibar,2326,0,
I. MiquelLeganés,1252,0,
C. ClercReal Valladolid,60,0,
S. PostigoMirandés,690,0,
P. InsuaReal Zaragoza,1108,0,
J. Antonio RíosFC Cartagena,1078,0,
N. MartínezFC Cartagena,1129,0,
E. GalileaMálaga,1997,0,
D. CostasReal Oviedo,2872,0,
J. LeónCD Tenerife,2500,0,
D. CalvoReal Oviedo,3957,0,
L. AhijadoReal Oviedo,816,0,
V. Garcia MarinMálaga,1660,0,
F. MiguelBurgos Club de Fútbol,3184,0,
K. VázquezSporting Gijón,797,0,
A. BuñuelBurgos Club de Fútbol,2177,0,
C. PomaresReal Zaragoza,1676,0,
A. RadovanovićReal Zaragoza,1155,0,
A. LandázuriCD Tenerife,846,0,
N. MonteAlmería,2955,0,
C. MichelinReal Valladolid,2333,0,
J. AmadorEibar,1651,0,
N. VidalReal Oviedo,1862,0,
N. ŠipčićCD Tenerife,1620,0,
I. Sebastián MaganaHuesca,2766,0,
PVP. VázquezSporting Gijón,3705,0,
O. LuengoBurgos Club de Fútbol,2150,0,
A. RodríguezReal Zaragoza,1614,0,
Á. RodríguezEibar,1327,0,
E. CurbeloSporting Gijón,586,0,
M. AguirregabiriaReal Zaragoza,2287,0,
J. AmoCD Lugo,0,0,
G. SierraBurgos Club de Fútbol,1618,0,
J. GutiérrezMirandés,3170,0,
F. MedranoMirandés,863,0,
ChumiAlmería,2557,0,
S. GonzálezBurgos Club de Fútbol,3030,0,
J. AlonsoHuesca,2118,0,
FMF. MonteroMálaga,2167,0,
Á. PastorMálaga,2330,0,
R. PulidoLeganés,1504,0,
Y. KemboUD Ibiza,0,0,
Á. CentellesAlmería,2606,0,
D. SánchezMálaga,1971,0,
Á. CarrilloHuesca,1302,0,
A. ArambarriEibar,2415,0,
E. ClementeLas Palmas,1317,0,
P. GarcíaSporting Gijón,1899,0,
T. AbadHuesca,1773,0,
G. RosasSporting Gijón,3058,0,
S. CuberoEibar,1996,0,
J. GabilondoMálaga,1253,0,
D. ChirinoAlmería,3014,0,
D. Rodríguez RamosCD Tenerife,2351,0,
C. GutiérrezLas Palmas,2222,0,
D. SánchezSporting Gijón,2392,0,
D. TasendeReal Zaragoza,2369,0,
J. GayáCD Lugo,941,0,
A. RahimReal Oviedo,2141,0,
P. TomeoReal Valladolid,3372,0,
MarvelLeganés,2021,0,
BMB. MartínezBurgos Club de Fútbol,1386,0,
C. PugaMálaga,2197,0,
SdS. del CerroBurgos Club de Fútbol,0,0,
A. DadieReal Sociedad B,150,0,
LAL. AguilarLeganés,2696,0,
J. AlbertUD Ibiza,0,0,
M. LunaAlmería,1436,0,
D. MurilloMálaga,782,0,
P. ArriazaMálaga,0,0,
H. ArrillagaEibar,1583,0,
I. MerinoMálaga,1212,0,
BMB. MontesSporting Gijón,0,0,
RGR. GarridoMálaga,0,0,
CÁC. ÁlvarezCD Tenerife,729,0,
H. RincónGirona FC,3591,0,
J. CabelloMirandés,1459,0,
MCM. CarrascalFC Cartagena,50,0,
OFO. FalahReal Oviedo,8,0,
